ID,State,Name,Category,Income,Qualification,Description,LINKS,Type
106,All India,National Means Cum Merit Scholarship,SC,150000,9th,"Initiated in May 2008, NMMS Scholarship aims to motivate bright and disadvantaged students to complete their secondary and higher secondary levels of education so as to improve the dropout rate from schools after class 8. Every year, students of classes 9 to 12 appear for two levels of selection tests at the state level to avail the benefits of the National Means-Cum-Merit Scholarship.", https://scholarships.gov.in/,Government
107,All India,National Means Cum Merit Scholarship,ST,150000,9th,"Initiated in May 2008, NMMS Scholarship aims to motivate bright and disadvantaged students to complete their secondary and higher secondary levels of education so as to improve the dropout rate from schools after class 8. Every year, students of classes 9 to 12 appear for two levels of selection tests at the state level to avail the benefits of the National Means-Cum-Merit Scholarship.", https://scholarships.gov.in/,Government
108,All India,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,SC,800000,12th,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families. The fund provided under this scholarship helps the candidate to meet his/her daily expenses incurred while pursuing graduate or postgraduate studies in general or professional courses.", https://scholarships.gov.in/,Government
109,All India,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,ST,800000,12th,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families. The fund provided under this scholarship helps the candidate to meet his/her daily expenses incurred while pursuing graduate or postgraduate studies in general or professional courses.", https://scholarships.gov.in/,Government
110,All India,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,OBC,800000,12th,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families. The fund provided under this scholarship helps the candidate to meet his/her daily expenses incurred while pursuing graduate or postgraduate studies in general or professional courses.", https://scholarships.gov.in/,Government
111,All India,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,PWD,800000,12th,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families. The fund provided under this scholarship helps the candidate to meet his/her daily expenses incurred while pursuing graduate or postgraduate studies in general or professional courses.", https://scholarships.gov.in/,Government
112,All India,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),all,800000,Diploma,"NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M.Phil./Ph.D. programme. The scholarship is being offered by the North Eastern Council, Ministry of Development of North Eastern Region, Government of India, Shillong to the eligible candidates of the North Eastern States. The scholarship aims at providing financial aid to students of the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution. The students will receive financial help of up to INR 30,000 per annum", https://scholarships.gov.in/,Government
113,All India,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),all,800000,Under graduation,"NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M.Phil./Ph.D. programme. The scholarship is being offered by the North Eastern Council, Ministry of Development of North Eastern Region, Government of India, Shillong to the eligible candidates of the North Eastern States. The scholarship aims at providing financial aid to students of the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution. The students will receive financial help of up to INR 30,000 per annum", https://scholarships.gov.in/,Government
114,All India,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),all,800000,Post graduation,"NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M.Phil./Ph.D. programme. The scholarship is being offered by the North Eastern Council, Ministry of Development of North Eastern Region, Government of India, Shillong to the eligible candidates of the North Eastern States. The scholarship aims at providing financial aid to students of the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution. The students will receive financial help of up to INR 30,000 per annum", https://scholarships.gov.in/,Government
115,All India,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),all,800000,PhD,"NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M.Phil./Ph.D. programme. The scholarship is being offered by the North Eastern Council, Ministry of Development of North Eastern Region, Government of India, Shillong to the eligible candidates of the North Eastern States. The scholarship aims at providing financial aid to students of the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution. The students will receive financial help of up to INR 30,000 per annum", https://scholarships.gov.in/,Government
116,Uttar Pradesh,Pre-Matric Scholarship for SC/ST/General Category,all,100000,SCC,"social welfare department, uttar pradesh",https://scholarship.up.gov.in/,Government
117,Uttar Pradesh,Post-Matric Scholarship for SC/ST/General Category,all,200000,12th,"social welfare department, uttar pradesh",https://scholarship.up.gov.in/,Government
118,Uttar Pradesh,Uttar Pradesh Pre-Matric Minority Scholarship,Minority,100000,SSC,"Ministry of Minority Affairs, Government of India",https://scholarship.up.gov.in/,Government
119,Uttar Pradesh,Uttar Pradesh Post-Matric Minority Scholarship,Minority,250000,12th,"Ministry of Minority Affairs, Government of India",https://scholarship.up.gov.in/,Government
120,Uttar Pradesh,Uttar Pradesh Kanya Sumangala Yojana,all,300000,Under graduation,"Ministry of Human Resource Development, Government of India",https://scholarship.up.gov.in/,Government
121,Uttar Pradesh,Uttar Pradesh Free Coaching and Allied Scheme for SC/ST/Minority/General,all,100000,All students ,Government of Uttar Pradesh,https://scholarship.up.gov.in/,Government
122,Uttar Pradesh,Uttar Pradesh Scholarship for Students with Disabilities,all,250000,All students ,"Department of Empowerment of Persons with Disability, Government of India",https://scholarship.up.gov.in/,Government
123,Uttar Pradesh,Uttar Pradesh Dashmottar Scholarship,all,250000,Post graduation,"social welfare department, uttar pradesh",https://scholarship.up.gov.in/,Government
124,Uttar Pradesh,Pre-Matric Scholarship for students with disabilities,PWD,100000,SSC,"Department of Empowerment of Persons with Disability, Government of India",https://scholarship.up.gov.in/,Government
125,Uttar Pradesh,Post Matric Scholarship for Students with Disabilities ,PWD,100000,12th,"By Department of Empowerment of Persons with Disability, Government of India",https://scholarship.up.gov.in/,Government
126,Uttar Pradesh,Merit Cum Means Scholarship for professional and Technical Courses CS,all,500000,All students ,Government of Uttar Pradesh,https://scholarship.up.gov.in/,Government
127,Uttar Pradesh,National Means Cum Merit Scholarship,all,500000,All students ,Government of Uttar Pradesh,https://scholarship.up.gov.in/,Government
128,Uttar Pradesh,Post Matric Scholarship for Students with Disabilities,PWD,200000,12th,"Department of Empowerment of Persons with Disability, Government of India",https://scholarship.up.gov.in/,Government
129,Rajasthan,"Dr. Ambedkar Post Matric Scholarship for EBC Students, Rajasthan
",EBC,250000,12th," Social Justice and Empowerment Department, Government of Rajasthan",https://sje.rajasthan.gov.in/,Government
130,Rajasthan,"Post Matric Scholarship for SBC Students, Rajasthan",SBC,100000,12th," Social Justice and Empowerment Department, Government of Rajasthan",https://sje.rajasthan.gov.in/,Government
131,Rajasthan,"Ambedkar International Scholarship Scheme for SC Students, Rajasthan",SC,180000,Post Graduation," Social Justice and Empowerment Department, Government of Rajasthan",https://sje.rajasthan.gov.in/,Government
132,Rajasthan,"Ambedkar Fellowship Scheme for SC Students, Rajasthan",SC,600000,PHD," Social Justice and Empowerment Department, Government of Rajasthan",https://sje.rajasthan.gov.in/,Government
133,Rajasthan,"Chief Minister’s Higher Education Scholarship Scheme, Rajasthan",SC,250000,PHD," Social Justice and Empowerment Department, Government of Rajasthan",https://sje.rajasthan.gov.in/,Government
134,Rajasthan,Rajasthan Yuva Vikas Prerak Internship Program (RYVP),all,250000,Under graduation," Social Justice and Empowerment Department, Government of Rajasthan",https://sje.rajasthan.gov.in/,Government
135,GUJARAT,Mukhyamantri Yuva swalamban Yojana,NTDNT ,600000,FYJC,Chief Minister's Youth Self-Employment Scheme,https://www.digitalgujarat.gov.in/GSSP/,Government
136,GUJARAT,Scholarships to the Disabled Students,NTDNT ,50000,12th,Ministries or Departments of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
137,GUJARAT,Post SSC Scholarship for Girls (NTDNT),NTDNT ,50000,12th,Chief Minister's Youth Self-Employment Scheme,https://www.digitalgujarat.gov.in/GSSP/,Government
138,GUJARAT,Post SSC Scholarship for Boys (NTDNT),NTDNT ,150000,12th,Chief Minister's Youth Self-Employment Scheme,https://www.digitalgujarat.gov.in/GSSP/,Government
139,GUJARAT,"Post SSC Scholarship for Boys (SEBC),",SEBC,300000,12th,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
140,GUJARAT,Post SSC Scholarship for Girls (SEBC),SEBC,300000,12th,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
141,GUJARAT,Food Bill Assistance to SC Students,SC,500000,Post Graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
142,GUJARAT,Food Bill Assistance for Medical/Engineering Students (SEBC),SEBC,250000,Under graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
143,GUJARAT,Educational Assistance for NTDNT Students Studying in Self-Financed College,NTDNT ,150000,Post Graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
144,GUJARAT,Higher Secondary Scholarship (Minority),Minority,120000,12th,Department of Minority Affairs,https://www.digitalgujarat.gov.in/GSSP/,Government
145,GUJARAT,Fellowship Scheme for M.Phil. and PhD Students (SEBC),SEBC,800000,Ph.D,Department of Education,https://www.digitalgujarat.gov.in/GSSP/,Government
146,GUJARAT,Swami Vivekanand Stipend Scheme for Technical and Professional Courses (NTDNT),NTDNT ,150000,Under graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
147,GUJARAT,Swami Vivekanand Stipend Scheme for Technical and Professional Courses (EBC),EBC,300000,Under graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
148,GUJARAT,"Instrumental Assistance for Medical, Engineering, Diploma Students (SEBC)",SEBC,150000,Under graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
149,GUJARAT,"Medical, Engineering and Diploma",all,600000,Under graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
150,GUJARAT,Higher Education Scheme,all,800000,Under graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
151,GUJARAT,Scholarships to SC Students for ITI/Professional Studies,SC,250000,Under graduation,Department of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
152,GUJARAT,Umbrella Scheme for Education of ST Students Post-Matric Scholarship,ST,250000,12th,Department of Tribal Affairs,https://www.digitalgujarat.gov.in/GSSP/,Government
153,GUJARAT,Fellowship Scheme,all,500000,post graduation,Government of Gujarat,https://www.digitalgujarat.gov.in/GSSP/,Government
154,GUJARAT,Research Scholarship,all,500000,post graduation,Government of Gujarat,https://www.digitalgujarat.gov.in/GSSP/,Government
155,GUJARAT,Swami Vivekanand Stipend Scheme for ITI Courses,all,100000,Under graduation,Government of Gujarat,https://www.digitalgujarat.gov.in/GSSP/,Government
156,GUJARAT,Scholarship for the Students of Government Colleges,all,250000,Under graduation,Government of Gujarat,https://www.digitalgujarat.gov.in/GSSP/,Government
157,GUJARAT,EBC Fees Exemption Scheme,EBC,100000,12th,Government of Gujarat,https://www.digitalgujarat.gov.in/GSSP/,Government
158,GUJARAT,"Instrumental Help to SC Students (Medical Engineering, Diploma Courses)",SC,50000,Under graduation,"Social justice and Special Assitance Depatment, Gujarat",https://www.digitalgujarat.gov.in/GSSP/,Government
159,GUJARAT,Post Matric Scholarship of Government of India for the OBC Students,OBC,500000,12th,Ministries or Departments of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
160,GUJARAT,Fellowship Scheme for M.Phil. & PhD (SC) Students,SC,100000,post graduation,Ministries or Departments of Social Justice and Empowerment,https://www.digitalgujarat.gov.in/GSSP/,Government
161,GUJARAT,Post Matric Scholarship for ST Girl Students,ST,250000,12th,Department of Tribal Affairs,https://www.digitalgujarat.gov.in/GSSP/,Government
162,GUJARAT,Scholarship for Students Studying at Dr. Ambedkar or Indira Gandhi Open University (SEBC),SEBC,200000,Under graduation,Government Education Departments,https://www.digitalgujarat.gov.in/GSSP/,Government
163,GUJARAT,Food Bill Assistance in College Attached Hostels,all,250000,Under graduation,Government Education Departments,https://www.digitalgujarat.gov.in/GSSP/,Government
164,GUJARAT,Higher Secondary Scholarship (SEBC),SRBC,100000,post graduation,Government Education Departments,https://www.digitalgujarat.gov.in/GSSP/,Government
165,GUJARAT,Instrumental Assistance for First-year Students of Medical/Engineering/Diploma Courses,all,250000,Under graduation,Government Education Departments,https://www.digitalgujarat.gov.in/GSSP/,Government
166,GUJARAT,Special Scholarship for Boys and Girls Students,all,800000,Post Graduation,Government Education Departments,https://www.digitalgujarat.gov.in/GSSP/,Government
167,Bihar,Post Matric Scholarship for SC/ST/OBC/Minorities,all,300000,12th,"Education Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
168,Bihar,Post Matric Scholarship for OBC/EBC,OBC/EBC,300000,12th,"Backward and Extremely Backward Class Welfare Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
169,Bihar,Bihar Mukhyamantri Atyant Pichhda Varg Civil Seva Protsahan Yojana,SC/ST,150000,Under/Post graduation, Civil Seva Protsahan Yojana,https://pmsonline.bih.nic.in/,Government
170,Bihar,Vidyadhan Bihar Plus 2 (1st year) Program,all,100000,undergraduation,"Education Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
171,Bihar,Maulana Azad National Scholarship Scheme,Minority,300000,Post Graduation,Sarojini Damodaran Foundation,https://pmsonline.bih.nic.in/,Government
172,Bihar,Bihar Pre-Matric Scholarship for SC/ST/OBC/Minorities,sc/st/obc,500000,SSC,"Backward and Extremely Backward Class Welfare Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
173,Bihar,Bihar Chief Minister's Scholarship Scheme,all,80000,undergraduation,"Education Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
174,Bihar,Mukhyamantri Balak/Balika Protsahan Yojana,all,250000,ssc,"Education Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
175,Bihar,Chief Minister Medhaavi Vidyarthi Yojana,sc/st/obc,50000,12th,"Backward and Extremely Backward Class Welfare Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
176,Bihar,Mukhyamantri Kanya Utthan Yojana,sc/st/obc,50000,12th,"Backward and Extremely Backward Class Welfare Department, Government of Bihar",https://pmsonline.bih.nic.in/,Government
177,,,,,,,,
178,Maharashtra,Government Research Adhichatra,all,0,Post-Graduation,"Government Research Adhichatra 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to financially help students who have completed postgraduation and are willing to pursue Ph.D. degree. The selected students will receive INR 750 per month as a scholarship and INR 1,000 per year for other expenses.",https://mahadbt.maharashtra.gov.in/login/login,Government
179,Maharashtra,Assistance to Meritorious Students scholarship - Junior Level,all,0,FYJC,"Assistance to Meritorious Students Scholarship - Junior Level, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financially help students of Class 11 & 12  who want to pursue higher education. The selected students will receive a scholarship of up to INR 2,300.",https://mahadbt.maharashtra.gov.in/login/login,Government
180,Maharashtra,Assistance to Meritorious Students scholarship - Senior Level,all,0,HSC,"Assistance to Meritorious Students Scholarship - Senior Level, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financially help Class 11 and 12 passed students who are willing to pursue higher studies. The selected students will receive up to INR 72,000 depending on course.",https://mahadbt.maharashtra.gov.in/login/login,Government
181,Maharashtra,Dr Panjabrao Deshmukh Hostel Maintenance Allowance,SEBC,800000,Medical,"The Dr Panjabrao Deshmukh Hostel Maintenance Allowance Scheme is presented by the organization of the Directorate of Medical Education Research under the Government of Maharashtra in order to provide proper opportunities to all the students who are currently taking into account MBBS, BDS, BAMS, BHMS, BPTH, BOTH, B.SC Nursing, BUMS, BP & O, BASLP courses in government-aided/Corporation/Private un-aided colleges",https://mahadbt.maharashtra.gov.in/login/login,Government
182,Maharashtra,Dr Panjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna(DTE),all,800000,Grduation or Post-graduation,"Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to financially help the students who are wards of registered labour/alpabhudharak (Marginal Land Holder) and who have taken admission in technical, professional or non-professional courses",https://mahadbt.maharashtra.gov.in/login/login,Government
183,Maharashtra,Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR),all,800000,Grduation or Post-graduation  or diploma,"MCAER Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR), Maharashtra 2022-23 is an initiative of the Maharashtra Council Of Agriculture Education And Research (MCAER) to financially help children of registered labour and marginal land farmers. The selected students will receive up to INR 30,000 for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
184,Maharashtra,Education Fee Reimbursement Scheme for Open Category Students,open,0,Medical,"Education Fee Reimbursement Scheme for Open Category Students, Maharashtra 2022-23 is an initiative of the Directorate of Medical Education Research, Government of Maharashtra to provide financial assistance to students belonging to the open category and pursuing MBBS, BDS, postgraduate medical (MD/MS) degree courses. The selected students will receive an Institute FRA-approved fee (private).",https://mahadbt.maharashtra.gov.in/login/login,Government
185,Maharashtra,Eklavya Scholarship,all,75000,Graduation,"Eklavya Scholarship 2022-23, Maharashtra is an opportunity by the Directorate of Higher Education, Government of Maharashtra to provide financial aid to graduate students in Arts, Law, Commerce, and Science who have taken admission to a postgraduate degree program. The selected scholars will receive INR 5,000 (one-time). ",https://mahadbt.maharashtra.gov.in/login/login,Government
186,Maharashtra,Government of India Post-Matric Scholarship,ST,250000,SSC,"Post Matric Scholarship Scheme Government of India 2022-23, Maharashtra is an initiative of the Maharashtra Government and Tribal Development Department, Government of India to provide financial support to Scheduled Tribe (ST) community students in Maharashtra. The scholarship encourages ST students from financially underprivileged backgrounds for pursuing studies after Class 10 towards higher education. The selected candidates will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
187,Maharashtra,Maintenance Allowance for student Studying in professional courses,SC,250000,Professional ,"Maintenance Allowance for SC Students in Professional Courses 2022-23, Maharashtra is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to SC students enrolled in professional courses. The eligible candidates will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
188,Maharashtra,Open Merit Scholarships for EBC Students,EBC,0,FYJC or HSC,"Open Merit Scholarships for EBC Students, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to provide financial assistance to EBC category students studying in Class 11 and 12. The key objective of the scholarship is to enable students to continue further their higher education. The selected students will receive a scholarship amount of up to INR 140 per month for boys and up to INR 160 per month for girls for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
189,Maharashtra,Open Merit Scholarships in Junior College,all,0,FYJC or HSC,"Open Merit Scholarships in Junior College, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to financially help students of Class 11 and 12. The objective of this scholarship is to motivate those students to pursue further higher education. The selected students will receive INR 50 per month for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
190,Maharashtra,Payment of Maintenance Allowance to VJNT and SBC Students ,VJNT or SBC,800000,post-matric,"Maintenance Allowance to VJNT and SBC Students in Professional Courses 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to provide financial help to VJNT and SBC category students who are pursuing professional courses and residing in hostels attached to professional colleges. The selected students will receive a  monthly maintenance allowance for a duration of 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
191,Maharashtra,Post Matric Scholarship Scheme (Government Of India ),ST,250000,post-matric,"Post Matric Scholarship Scheme Government of India 2022-23, Maharashtra is an initiative of the Maharashtra Government and Tribal Development Department, Government of India to provide financial support to Scheduled Tribe (ST) community students in Maharashtra. The scholarship encourages ST students from financially underprivileged backgrounds for pursuing studies after Class 10 towards higher education. The selected candidates will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
192,Maharashtra,Post Matric Scholarship to OBC Students,OBC,100000,Post-matric,"Post Matric Scholarship to OBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help OBC students studying from Class 11 to Ph.D. level and residing in Maharashtra. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
193,Maharashtra,Post Matric Scholarship to SBC Students,SBC,100000,post-matric,"Post Matric Scholarship to SBC Students 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to financially help the SBC category students who have completed Class 10 and are continuing studies at post-matric level. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
194,Maharashtra,Post Matric Scholarship to VJNT Students,VJNT,150000,FYJC,"Post-Matric Scholarship to VJNT Students, Maharashtra 2022-23 is an initiative of VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help the VJNT category students who are studying from Class 11 to Ph.D. level. The scheme will financially help the VJNT category students to pursue higher education. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
195,Maharashtra,Post-Matric Scholarship for persons with disability,SC Or NB,250000,SSC,"Post-Matric Tuition Fee and Examination Fee (Freeship) 2022-23, Maharashtra is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to Class 10 passed students. The eligible students' tuition fees, exam fees and other compulsory fees will be covered under this scheme.",https://mahadbt.maharashtra.gov.in/login/login,Government
196,Maharashtra,Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship,VJ or NT or SBC,0,FYJC or HSC,"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for VJNT & SBC Category, Maharashtra 2022-23 is an initiative by the VJNT, OBC and SBC Welfare Department, Government of Maharashtra for VJNT and SBC category students studying in Class 11 and 12. The selected students will receive INR 300 per month for ten months.",https://mahadbt.maharashtra.gov.in/login/login,Government
197,Maharashtra,Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme,SEBC,800000,professional or non-professional,"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to provide financial aid to graduate and postgraduate students. The scholarship is applicable to students coming from economically weaker sections of society. The selected students will receive course fees and examination fees.",https://mahadbt.maharashtra.gov.in/login/login,Government
198,Maharashtra,Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme,EBC,800000,Medical,"Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scholarship Scheme 2022-23 is an initiative of the Directorate of Medical Education Research, Government of Maharashtra to financial aid to undergraduate medical degree applicants. The selected students will receive a 50% fee reimbursement (tuition fee plus development fee).",https://mahadbt.maharashtra.gov.in/login/login,Government
199,Maharashtra,Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship,SC,0,FYJC or HSC,"Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship, Maharashtra 2022-23 is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to SC students of Class 11 and 12. The selected students will receive INR 300 per month for 10 months",https://mahadbt.maharashtra.gov.in/login/login,Government
200,Maharashtra,Scholarship for students of minority communities pursuing, Buddha or Christian or Jain or Sikh or Parsi or Jews ,800000,Medical,"Minority Scholarship, Maharashtra 2022-23 is an initiative of the Minority Development Department, Government of Maharashtra to financially help minority students pursuing MBBS, BDS, BAMS, BHMS, BUMS, BPTH, BOTH, BASLP, BP&O, BSc Nursing, MSc Nursing, BPMT, Ophthalmic Assistant, Optometry, PB BSc Nursing and courses affiliated to Maharashtra University of Health Science, Nashik. The selected students will receive a total annual course fee or INR 25,000 (whichever is less).",https://mahadbt.maharashtra.gov.in/login/login,Government
201,Maharashtra,Scholarship to Meritorious students possessing Mathematics /Physics,all,0,graduation-Science,"Scholarship to Meritorious Students Possessing Mathematics/Physics, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financial aid to students pursuing graduation in Science. The selected students will receive INR 100 per month.",https://mahadbt.maharashtra.gov.in/login/login,Government
202,Maharashtra,State Government Daxshina Adhichatra Scholarship,all,0,,"State Government Daxshina Adhichatra Scholarship 2022-23, Maharashtra is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to provide financial assistance to students pursuing postgraduation from Government institutes and colleges and non-agricultural universities. A total of 76 selected students will receive INR 250 per month under this scholarship scheme. ",https://mahadbt.maharashtra.gov.in/login/login,Government
203,Maharashtra,State Government Open Merit Scholarship,all,0,graduation,"State Government Open Merit Scholarship, Maharashtra 2021-22 is an initiative by the Directorate of Higher Education (DHE), the Government of Maharashtra for Class 12th passed students of Maharashtra. A total of 1208 students admitted to the Commerce, Arts, Law or Science graduate program will be benefitted under this scheme. The selected students will receive INR 100 per month.",https://mahadbt.maharashtra.gov.in/login/login,Government
204,Maharashtra,Tuition Fees and Examination Fees to OBC Students,OBC,800000,FYJC,"Tuition Fees and Examination Fees to OBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government to Maharashtra provide financial assistance to OBC students studying from Class 11 to Ph.D. level. The selected students will receive tuition fees and exam fees reimbursement under this scheme. ",https://mahadbt.maharashtra.gov.in/login/login,Government
205,Maharashtra,Tuition Fees and Examination Fees to SBC Students,SBC,800000,Professional or non-professional,"Tuition Fees and Examination Fees to SBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help SBC category students studying from Class 11 to PhD level. The scholarship aims to create opportunities for SBC students by providing them with financial aid to pursue higher education. The selected students will receive tuition fees and exam fees reimbursement under this scheme. ",https://mahadbt.maharashtra.gov.in/login/login,Government
206,Maharashtra,"Rajarshi Chhatrapati Shahu Maharaj  Merit Scholarship for students
studying in 11th & 12thstandard of VJNT & SBCcategory",VJNT or SBC,0,post-matric,"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to provide financial aid to graduate and postgraduate students. The scholarship is applicable to students coming from economically weaker sections of society. The selected students will receive course fees and examination fees.",https://mahadbt.maharashtra.gov.in/login/login,Government
207,Maharashtra,Jawaharlal Nehru University Scholarship,all,0,post-matric,"Jawaharlal SchemeNehru University  2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to provide financial assistance to students who are enrolled in UG and PG courses at Jawaharlal Nehru University. The selected students will receive INR 8,000 per month as a scholarship and an additional allowance of INR 10,000 per annum.",https://www.jnu.ac.in/main/,Government
208,Maharashtra,Government Vidyaniketan Scholars,all,0,post-matric,"Government Vidyaniketan Scholarship 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to financially help Class 10 passed students. The selected students will receive INR 100 per month for their higher education.",https://dhepune.gov.in/vidya-niketan-scholarship,Government
